name,pts,ast,reb,blk,stl,sal,age,mp,fga
Kevin Knox,7.2,0.7,2.4,0.2,0.4,1845593.0,24,18.1,6.0
John Konchar,4.3,2.0,4.7,0.9,0.9,2400000.0,27,21.3,3.8
Furkan Korkmaz,2.5,0.7,0.9,0.1,0.4,5370370.0,26,8.6,2.2
Luke Kornet,5.3,1.1,4.1,1.0,0.4,2413304.0,28,15.6,3.2
Jonathan Kuminga,16.1,2.2,4.8,0.5,0.7,6012840.0,21,26.3,11.6
Kyle Kuzma,22.2,4.2,6.6,0.7,0.5,25568182.0,28,32.6,18.8
Jock Landale,4.9,1.2,3.1,0.6,0.4,8000000.0,28,13.6,3.7
Jake LaRavia,10.8,1.7,3.7,0.3,0.8,3199920.0,22,23.0,8.7
Zach LaVine,19.5,3.9,5.2,0.3,0.8,40064220.0,28,34.9,15.0
A.J. Lawson,3.2,0.5,1.2,0.1,0.2,1000000.0,23,7.4,2.9
Alex Len,2.5,1.0,2.7,0.7,0.2,2019706.0,30,9.3,1.7
Kawhi Leonard,23.7,3.6,6.1,0.9,1.6,45640084.0,32,34.3,17.1
Caris LeVert,14.0,5.1,4.1,0.5,1.1,15384616.0,29,28.8,12.1
Kira Lewis Jr.,3.2,1.3,0.9,0.1,0.3,5722116.0,22,9.5,3.3
Maxwell Lewis,0.3,0.2,0.1,0.0,0.1,1119563.0,21,3.0,0.6
E.J. Liddell,0.5,0.1,0.6,0.3,0.3,1801769.0,23,2.9,0.8
Damian Lillard,24.3,7.0,4.4,0.2,1.0,45640084.0,33,35.3,17.5
Nassir Little,3.4,0.5,1.7,0.2,0.2,6250000.0,23,10.2,2.8
Dereck Lively II,8.8,1.1,6.9,1.4,0.7,4775640.0,19,23.5,5.4
Isaiah Livers,5.0,1.1,2.1,0.2,0.6,1836096.0,25,20.4,5.0
Chris Livingston,1.2,0.2,1.0,0.0,0.1,1119563.0,20,4.3,1.0
Kenneth Lofton Jr.,4.6,1.6,1.8,0.2,0.3,500000.0,21,9.5,3.7
Kevon Looney,4.5,1.8,5.7,0.4,0.4,7500000.0,27,16.1,3.1
Brook Lopez,12.5,1.6,5.2,2.4,0.5,25000000.0,35,30.5,9.6
Robin Lopez,1.1,0.3,0.3,0.2,0.1,2019706.0,35,4.1,1.2
Kevin Love,8.8,2.1,6.1,0.2,0.3,3835738.0,35,16.8,6.5
Kyle Lowry,8.1,4.2,3.2,0.4,1.0,32478379.0,37,28.2,6.3
Trey Lyles,7.2,1.2,4.4,0.3,0.3,8000000.0,28,20.0,5.5
Sandro Mamukelashvili,4.1,1.1,3.2,0.3,0.2,2019706.0,24,9.8,3.4
Terance Mann,8.8,1.6,3.4,0.2,0.6,10576923.0,27,25.0,6.6
Tre Mann,9.3,4.0,3.6,0.1,1.2,3191400.0,22,24.1,7.7
Boban Marjanović,3.2,0.4,2.3,0.1,0.1,2019706.0,35,5.1,2.4
Lauri Markkanen,23.2,2.0,8.2,0.5,0.9,17259999.0,26,33.1,16.2
Naji Marshall,7.1,1.9,3.6,0.2,0.7,1930681.0,26,19.0,5.6
Caleb Martin,10.0,2.2,4.4,0.5,0.7,6802950.0,28,27.4,8.7
Cody Martin,7.5,3.7,3.9,0.6,1.1,7560000.0,28,26.9,7.7
KJ Martin,3.7,0.9,2.2,0.2,0.4,1930681.0,23,12.4,3.0
Garrison Mathews,4.9,0.6,1.4,0.1,0.3,2000000.0,27,15.0,3.4
Bennedict Mathurin,14.5,2.0,4.0,0.2,0.6,6916080.0,21,26.1,11.2
Wesley Matthews,3.1,0.6,1.5,0.3,0.4,2019706.0,37,11.5,2.7
Tyrese Maxey,25.9,6.2,3.7,0.5,1.0,4343920.0,23,37.5,20.3
Skylar Mays,4.1,2.2,1.1,0.1,0.6,1799163.0,26,11.4,4.2
Miles McBride,8.3,1.7,1.5,0.1,0.7,1836096.0,23,19.5,6.7
CJ McCollum,20.0,4.6,4.3,0.6,0.9,35802469.0,32,32.7,16.0
